url,route_id,scraped_timestamp,name,location,sector,nearest_city,elevation,first_ascent_year,first_ascensionists,latitude,longitude,access_type,mountain_characteristics,nearby_excursions,description,avalanche_info,has_avalanche_info,is_alta_montana,has_glacier,is_volcano,avalanche_priority
https://www.andeshandbook.org/montanismo/cerro/2230/xxx,2230,2025-07-20T22:53:49.016270,Cerro Jat'ita Patxa (5305m) - Andeshandbook,"Peru, Moquegua",Cordillera Barroso,Moquegua,5305.0,null,,"-16deg 37' 47.8""","-70deg 10' 32.6""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2228/xxx,2228,2025-07-20T22:53:49.028985,Cerro Qhini Jamach'ini (5276m) - Andeshandbook,"Peru, Moquegua",Cordillera Barroso,Moquegua,5276.0,null,,"-16deg 37' 41.4""","-70deg 11' 29.9""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2227/xxx,2227,2025-07-20T22:53:49.041275,Cerro Wilani (5265m) - Andeshandbook,"Peru, MoqueguaPeru, Arequipa",Cordillera Volcanica,Moquegua,5265.0,null,,"-16deg 28' 49.5""","-70deg 58' 43.6""",No especificado,"Volcán, Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,true,false
https://www.andeshandbook.org/montanismo/cerro/2231/xxx,2231,2025-07-20T22:53:49.055281,Cerro Hatun P'ukru (5158m) - Andeshandbook,"Peru, Moquegua",Cordillera Barroso,Moquegua,5158.0,null,,"-16deg 31' 3.9""","-70deg 45' 28.6""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2222/xxx,2222,2025-07-20T22:53:49.066465,Cerro Pacocollo (5127m) - Andeshandbook,"Peru, TacnaPeru, Moquegua",Cordillera Barroso,Moquegua,5127.0,null,,"-16deg 46' 50.9""","-70deg 17' 36""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2226/xxx,2226,2025-07-20T22:53:49.079809,Cerro Willkani (5230m) - Andeshandbook,"Peru, Moquegua",Cordillera Barroso,Moquegua,5230.0,null,,"-16deg 38' 28.2""","-70deg 9' 52.3""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2232/xxx,2232,2025-07-20T22:53:49.126011,Cerro Apacheta Limani (5331m) - Andeshandbook,"Peru, TacnaPeru, Moquegua",Cordillera Barroso,Moquegua,5331.0,null,,"-17deg 0' 53.3""","-70deg 27' 37.8""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2233/xxx,2233,2025-07-20T22:53:49.358894,Cerro Churi Wiqu (5214m) - Andeshandbook,"Peru, MoqueguaPeru, Puno",Ciudad mas cercana: Moquegua,Moquegua,5214.0,null,,"-16deg 13' 11.1""","-70deg 19' 27""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2234/xxx,2234,2025-07-20T22:53:49.368264,Cerro Qayqu (5233m) - Andeshandbook,"Peru, Moquegua",Cordillera Barroso,Moquegua,5233.0,null,,"-16deg 15' 33.6""","-70deg 21' 21.5""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2235/xxx,2235,2025-07-20T22:53:49.443593,Cerro Qurini (5428m) - Andeshandbook,"Peru, MoqueguaPeru, Puno",Ciudad mas cercana: Moquegua,Moquegua,5428.0,null,,"-16deg 35' 36.7""","-70deg 10' 35.4""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
